status,master_id,company,company_norm,year,key,report_names,report_paths,question
matched,2,四方科技集团股份有限公司,四方科技集团股份有限公司,2019,四方科技集团股份有限公司#2019,2020-04-16__四方科技集团股份有限公司__603339__四方科技__2019年__年度报告.pdf,data/2020-04-16__四方科技集团股份有限公司__603339__四方科技__2019年__年度报告.pdf,2019年四方科技电子信箱是什么?
matched,5,苏州科达科技股份有限公司,苏州科达科技股份有限公司,2020,苏州科达科技股份有限公司#2020,2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告.pdf,data/2021-03-23__苏州科达科技股份有限公司__603660__苏州科达__2020年__年度报告.pdf,苏州科达在2020年的博士及以上人员数量是多少?
matched,12,上海金枫酒业股份有限公司,上海金枫酒业股份有限公司,2020,上海金枫酒业股份有限公司#2020,2021-03-30__上海金枫酒业股份有限公司__600616__金枫酒业__2020年__年度报告.pdf,data/2021-03-30__上海金枫酒业股份有限公司__600616__金枫酒业__2020年__年度报告.pdf,金枫酒业在2020年的管理费用是多少元?
matched,14,文投控股股份有限公司,文投控股股份有限公司,2021,文投控股股份有限公司#2021,2022-04-28__文投控股股份有限公司__600715__文投控股__2021年__年度报告.pdf,data/2022-04-28__文投控股股份有限公司__600715__文投控股__2021年__年度报告.pdf,文投控股在2021年的应付职工薪酬是多少元?
matched,16,震安科技股份有限公司,震安科技股份有限公司,2019,震安科技股份有限公司#2019,2020-05-15__震安科技股份有限公司__300767__震安科技__2019年__年度报告.pdf,data/2020-05-15__震安科技股份有限公司__300767__震安科技__2019年__年度报告.pdf,震安科技2019年的办公地址是什么?
matched,20,黄山永新股份有限公司,黄山永新股份有限公司,2019,黄山永新股份有限公司#2019,2020-03-14__黄山永新股份有限公司__002014__永新股份__2019年__年度报告.pdf,data/2020-03-14__黄山永新股份有限公司__002014__永新股份__2019年__年度报告.pdf,2019年永新股份企业名称是什么?
matched,21,西安饮食股份有限公司,西安饮食股份有限公司,2019,西安饮食股份有限公司#2019,2020-04-15__西安饮食股份有限公司__000721__西安饮食__2019年__年度报告.pdf,data/2020-04-15__西安饮食股份有限公司__000721__西安饮食__2019年__年度报告.pdf,2019年西安饮食股份有限公司电子信箱是什么?
matched,23,上海金桥信息股份有限公司,上海金桥信息股份有限公司,2020,上海金桥信息股份有限公司#2020,2021-04-21__上海金桥信息股份有限公司__603918__金桥信息__2020年__年度报告.pdf,data/2021-04-21__上海金桥信息股份有限公司__603918__金桥信息__2020年__年度报告.pdf,上海金桥信息股份有限公司2020年综合收益总额是多少元?
matched,24,广东华锋新能源科技股份有限公司,广东华锋新能源科技股份有限公司,2021,广东华锋新能源科技股份有限公司#2021,2022-04-27__广东华锋新能源科技股份有限公司__002806__华锋股份__2021年__年度报告.pdf,data/2022-04-27__广东华锋新能源科技股份有限公司__002806__华锋股份__2021年__年度报告.pdf,华锋股份2021年无形资产是多少元?
matched,27,山西杏花村汾酒厂股份有限公司,山西杏花村汾酒厂股份有限公司,2021,山西杏花村汾酒厂股份有限公司#2021,2022-04-28__山西杏花村汾酒厂股份有限公司__600809__山西汾酒__2021年__年度报告.pdf,data/2022-04-28__山西杏花村汾酒厂股份有限公司__600809__山西汾酒__2021年__年度报告.pdf,山西汾酒2021年应收款项融资是多少元?
matched,28,湖南博云新材料股份有限公司,湖南博云新材料股份有限公司,2020,湖南博云新材料股份有限公司#2020,2021-03-27__湖南博云新材料股份有限公司__002297__博云新材__2020年__年度报告.pdf,data/2021-03-27__湖南博云新材料股份有限公司__002297__博云新材__2020年__年度报告.pdf,博云新材在2020年对联营企业和合营企业的投资收益是多少元？
