pdf_path,company_year_key,qa_count,qa_count_cumulative
2021-03-23__北京康辰药业股份有限公司__603590__康辰药业__2020年__年度报告.pdf,北京康辰药业股份有限公司#2020,4,4
2021-04-20__宁波水表集团股份有限公司__603700__宁水集团__2020年__年度报告.pdf,宁波水表集团股份有限公司#2020,4,8
2022-04-15__山东英科环保再生资源股份有限公司__688087__英科再生__2021年__年度报告.pdf,山东英科环保再生资源股份有限公司#2021,4,12
2021-04-07__山东金麒麟股份有限公司__603586__金麒麟__2020年__年度报告.pdf,山东金麒麟股份有限公司#2020,4,16
2022-03-31__广东华特气体股份有限公司__688268__华特气体__2021年__年度报告.pdf,广东华特气体股份有限公司#2021,4,20
2021-04-08__明新旭腾新材料股份有限公司__605068__明新旭腾__2020年__年度报告.pdf,明新旭腾新材料股份有限公司#2020,4,24
2021-04-13__浙江圣达生物药业股份有限公司__603079__圣达生物__2020年__年度报告.pdf,浙江圣达生物药业股份有限公司#2020,4,28
2022-04-14__浙江帅丰电器股份有限公司__605336__帅丰电器__2021年__年度报告.pdf,浙江帅丰电器股份有限公司#2021,4,32
2021-04-07__浙江铁流离合器股份有限公司__603926__铁流股份__2020年__年度报告.pdf,浙江铁流离合器股份有限公司#2020,4,36
2020-04-10__烟台正海生物科技股份有限公司__300653__正海生物__2019年__年度报告.pdf,烟台正海生物科技股份有限公司#2019,4,40
2021-04-20__神驰机电股份有限公司__603109__神驰机电__2020年__年度报告.pdf,神驰机电股份有限公司#2020,4,44
2022-03-22__福达合金材料股份有限公司__603045__福达合金__2021年__年度报告.pdf,福达合金材料股份有限公司#2021,4,48
2021-03-23__东莞市华立实业股份有限公司__603038__华立股份__2020年__年度报告.pdf,东莞市华立实业股份有限公司#2020,3,51
2020-04-01__中航电测仪器股份有限公司__300114__中航电测__2019年__年度报告.pdf,中航电测仪器股份有限公司#2019,3,54
2021-03-26__北京元六鸿远电子科技股份有限公司__603267__鸿远电子__2020年__年度报告.pdf,北京元六鸿远电子科技股份有限公司#2020,3,57
2021-04-22__北京凯因科技股份有限公司__688687__凯因科技__2020年__年度报告.pdf,北京凯因科技股份有限公司#2020,3,60
2021-03-05__北京淳中科技股份有限公司__603516__淳中科技__2020年__年度报告.pdf,北京淳中科技股份有限公司#2020,3,63
2022-04-13__南通国盛智能科技集团股份有限公司__688558__国盛智科__2021年__年度报告.pdf,南通国盛智能科技集团股份有限公司#2021,3,66
2021-03-27__南通海星电子股份有限公司__603115__海星股份__2020年__年度报告.pdf,南通海星电子股份有限公司#2020,3,69
2022-03-30__安徽元琛环保科技股份有限公司__688659__元琛科技__2021年__年度报告.pdf,安徽元琛环保科技股份有限公司#2021,3,72
2022-03-10__安徽皖仪科技股份有限公司__688600__皖仪科技__2021年__年度报告.pdf,安徽皖仪科技股份有限公司#2021,3,75
2022-03-23__常州澳弘电子股份有限公司__605058__澳弘电子__2021年__年度报告.pdf,常州澳弘电子股份有限公司#2021,3,78
2021-03-24__广州市嘉诚国际物流股份有限公司__603535__嘉诚国际__2020年__年度报告.pdf,广州市嘉诚国际物流股份有限公司#2020,3,81
2020-04-10__成都博瑞传播股份有限公司__600880__博瑞传播__2019年__年度报告.pdf,成都博瑞传播股份有限公司#2019,3,84
2022-03-29__成都苑东生物制药股份有限公司__688513__苑东生物__2021年__年度报告.pdf,成都苑东生物制药股份有限公司#2021,3,87
2020-04-18__扬州扬杰电子科技股份有限公司__300373__扬杰科技__2019年__年度报告.pdf,扬州扬杰电子科技股份有限公司#2019,3,90
2022-04-12__新风光电子科技股份有限公司__688663__新风光__2021年__年度报告.pdf,新风光电子科技股份有限公司#2021,3,93
2020-04-18__河北养元智汇饮品股份有限公司__603156__养元饮品__2019年__年度报告.pdf,河北养元智汇饮品股份有限公司#2019,3,96
2022-04-01__浙江寿仙谷医药股份有限公司__603896__寿仙谷__2021年__年度报告.pdf,浙江寿仙谷医药股份有限公司#2021,3,99
2020-02-28__浙江花园生物医药股份有限公司__300401__花园生物__2019年__年度报告.pdf,浙江花园生物医药股份有限公司#2019,3,102
2021-04-20__海天水务集团股份公司__603759__海天股份__2020年__年度报告.pdf,海天水务集团股份公司#2020,3,105
